"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"G2MB-7KH",NA,"Joanna Davis","1624 - 1688",64,"USA",9,0
"G3FH-Z7Y",NA,"Ellen Wood","1589 - 1625",35,"UK:Great Britain",2,0
"G41Z-P5J",NA,"First wife of Rev. Joseph Hull","1600 - 1632",32,"UK:Great Britain",7,0
"G786-2KJ",NA,"David Thomas Jr","1620 - 1689",69,"UK:Great Britain",1,1
"G7FR-89L",NA,"Margery","1554 - Unknown",71,"UK:Great Britain",15,1
"G8VN-TVM",NA,"Eleanor Ann Wallis","1625 - 1686",61,"USA",9,0
"GCRR-39Y",NA,"Sarah Jane Evans","1628 - 1736",108,"UK:Great Britain",5,0
"GDS9-PKQ",NA,"Elisabeth Gilde","1606 - Unknown",NA,"Netherlands:South",3,1
"GDYP-K8G",NA,"Abigail Mournings","1608 - 1656",48,"UK:Great Britain",8,0
"GG26-MNK",NA,"Walker Archibald","1620 - Unknown",NA,"UK:Great Britain",10,0
"GG5T-8FV",NA,"Mrs Nancy Drew","1605 - Unknown",NA,"UK:Great Britain",5,0
"GGCJ-7H9",NA,"Thomas Bett","1615 - 1688",73,NA,1,9
"GGCJ-VX7",NA,"Edward Morris","Unknown - 1689",58,"UK:Great Britain",1,6
"GGPQ-9MV",NA,"Henry Herrick","Unknown - Unknown",NA,NA,1,0
"GGWK-6WH",NA,"Thomas Edwards","Unknown - Unknown",NA,NA,6,0
"GL8P-ZTL",NA,"Pietersen 'Abraham' Van Deursen","1575 - 1620",45,"Netherlands",1,0
"GLFF-83H",NA,"Mary","1621 - Unknown",NA,NA,1,0
"GLHH-P7Z",NA,"Martha","1610 - Unknown",NA,"UK:Great Britain",7,0
"GLMW-QP8",NA,"James Rawlins or Rollins Sr","1585 - 1687",102,"UK:Great Britain",4,1
"GLQ9-HBM",NA,"Hermen Everts","Unknown - Unknown",NA,NA,3,0
"GLQ9-N24",NA,"Hilleken Van Bruinloght","Unknown - Unknown",NA,NA,3,0
"GLQH-NXS",NA,"Jonathan Cole","1604 - 1664",60,NA,1,0
"GM1J-YXT",NA,"Mary Debell","1624 - 1664",40,"UK:Great Britain",5,0
"GMHV-VNV",NA,"Hugh Allard","1623 - 1674",51,"USA",6,0
"GN2S-S4Q",NA,"Margaretha Maria Janz","1598 - 1651",53,"Netherlands",1,0
"GQJ5-H17",NA,"Joan Dagwell","1573 - 1642",69,"UK:Isle of Wight",7,3
"GQKS-ZQN",NA,"james Finlayson","1631 - Unknown",NA,"UK:Great Britain",1,0
"GS4P-TKS",NA,"Walter Dobbs","1630 - 1691",61,"USA",6,0
"GS5Y-5BR",NA,"Sir Robert Smythe Of Highgate","1541 - Unknown",52,"UK:Great Britain",1,0
"GV2N-LWM",NA,"Sarah Beach","1588 - 1679",91,"UK:Great Britain",7,0
"GV7Q-5NC",NA,"Digery Dickery Carwithen","1560 - Unknown",NA,"UK:Great Britain",1,1
"GV7Q-VNJ",NA,"Maria “Mary” Biewett","1565 - Unknown",NA,"UK:Great Britain",1,0
"GVCH-8FT",NA,"Martha Eaton","1650 - 1719",69,"USA",2,1
"GVGS-74R",NA,"William Drew","1598 - Unknown",59,"UK:Great Britain",2,0
"GX7M-P5C",NA,"James H Morrison","1628 - 1717",88,"UK:Great Britain",7,6
"GXNK-782",NA,"Anne Lynford","1541 - 1579",38,"UK:Great Britain",1,0
"GZD2-3L7",NA,"Mary Crawley","1628 - 1667",39,"UK:Great Britain",8,2
"K2DX-514",NA,"George Wallis","1619 - 1685",66,"UK:Great Britain",9,0
"K6MW-MPX",NA,"William Ham","1594 - 1673",79,"UK:Great Britain",2,1
"K6S9-WRQ",NA,"John Woodman","1610 - Unknown",NA,"UK:Great Britain",1,0
"K8CY-ZVR",NA,"Elizabeth Green","1614 - Unknown",NA,"UK:Great Britain",1,0
"KFP8-VXB",NA,"Theophilus Shatswell","1609 - 1663",54,"UK:Great Britain",4,9
"KFYH-4DB",NA,"Lydia Bangs","1642 - 1706",64,"USA",11,8
