"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"MMDM-J2Q",NA,"Sarah Gleason","1636 - 1703",67,"UK:Great Britain",7,0
"MPY7-TFV",NA,"John Wadham IV","1655 - 1718",62,"USA",11,2
"MZLW-B6H",NA,"Henry Rice","1620 - 1711",90,"UK:Great Britain",10,9
"24RL-5Q2",NA,"Prudence Heath","1597 - 1631",33,NA,8,9
"273C-Q73",NA,"Hans Georg Steck","1657 - 1715",58,"Germany",5,5
"273C-Q82",NA,"Anna Volk","1660 - 1738",77,"Germany",7,4
"2MRR-XF1",NA,"Anna Geraitt","1647 - Unknown",NA,"Germany",3,0
"2SH6-P6L",NA,"Johannes Rauenzahner","1656 - 1722",66,"Germany",5,2
"2ZSC-VWX",NA,"Phebe Richardson","1632 - 1716",84,"USA",12,8
"8B91-NBN",NA,"Thomas Gleason III","1609 - 1686",77,"UK:Great Britain",12,4
"94KW-5BX",NA,"William Tryon","1595 - 1663",68,"UK:Great Britain",8,0
"971N-SXM",NA,"Abigail Ford","Unknown - 1688",68,"UK:Great Britain",16,4
"99KF-WR6",NA,"Abigail Fowler","1646 - 1733",87,"USA",10,9
"9C3Q-FTP",NA,"Samuel Guild","1647 - 1730",82,"USA",10,6
"9C7P-8NG",NA,"Rebecca Marvin","1639 - 1712",72,"USA",14,6
"9CJF-L66",NA,"Elizabeth Rice","1612 - 1690",78,"UK:Great Britain",12,5
"9CSG-DS7",NA,"Elizabeth Stream","1614 - 1694",80,"UK:Great Britain",15,0
"9CSG-XNJ",NA,"Samuel Packard","Unknown - 1684",72,"UK:Great Britain",15,8
"9HWJ-D1G","Q96209377","Freedom Woodward","1642 - 1681",38,"USA",15,3
"9MQ6-T6K",NA,"Elizabeth Wilkinson","1615 - 1694",79,"UK:Great Britain",11,5
"9Q79-D4W",NA,"John Wadhams III","Unknown - 1676",66,NA,3,2
"9QZY-X43",NA,"Thomas Fox","1619 - 1658",38,"UK:Great Britain",12,0
"9SQ5-XQ1",NA,"Dea. William Carpenter","1631 - 1702",70,"UK:Great Britain",17,7
"9SWX-LGC",NA,"Elizabeth Mitchell","1628 - 1684",56,"USA",11,2
"9VW1-RM4",NA,"Mary Woodcock","1654 - 1701",47,"USA",10,8
"G4N2-LSN",NA,"Anna Apollonia Weber","1655 - 1709",54,"France",5,0
"G613-WR6",NA,"William Tilley","1607 - 1670",63,"UK:Great Britain",2,9
"G6K2-TDK",NA,"Margaret Davidson","1617 - 1688",71,"UK:Great Britain",8,6
"G7MW-ZLW",NA,"Margaret","1600 - 1660",60,"UK:Great Britain",5,0
"G93D-2Z4",NA,"Anna Kunigunde","1654 - 1703",49,"Germany",4,0
"G9QC-F47",NA,"Thomas Eames","1618 - 1680",62,"UK:Great Britain",12,2
"G9RJ-LBS",NA,"Elizabeth Walker","1581 - Unknown",NA,"UK:Great Britain",6,0
"GC4Z-DYZ",NA,"Susanna Martha Tuffnell","1608 - 1683",75,"UK:Great Britain",2,0
"GDH2-HG8",NA,"Hannah Lambe","1622 - Unknown",NA,"USA",4,0
"GDKS-8JS",NA,"Friedrich Leibenguth","1640 - Unknown",74,"Switzerland",5,0
"GDLN-HFY",NA,"John Clary","1612 - 1672",60,"UK:Great Britain",3,0
"GF14-8PR",NA,"Elisabeth Amalie Rauw","1665 - 1709",44,"Germany",1,0
"GG9D-21Y",NA,"Rebeccah Cooke","1594 - Unknown",NA,"UK:Great Britain",8,0
"GGCJ-7H9",NA,"Thomas Bett","1615 - 1688",73,NA,1,9
"GGCJ-VX7",NA,"Edward Morris","Unknown - 1689",58,"UK:Great Britain",1,6
"GH6W-GD4",NA,"Elizabeth Southwick","1605 - 1696",91,"UK:Great Britain",1,12
"GHHP-TBM",NA,"Thomas Sands","1639 - Unknown",NA,"UK:Great Britain",6,9
"GK2M-STV",NA,"Mary","1616 - Unknown",40,"UK:Great Britain",5,0
"GL9T-L6M",NA,"Elizabeth Gale","1618 - 1691",73,"UK:Great Britain",1,0
"GLD9-RF6",NA,"Andreas Hedderich","1658 - Unknown",NA,"Germany",1,0
"GLJB-X6N",NA,"Catharinam Hoyer","1623 - 1691",68,"Germany",2,11
"GMQG-D2C",NA,"Hanß Jost Stober","1639 - 1691",52,"Germany",13,2
"GQ5B-PB6",NA,"Sarah Cox","Unknown - Unknown",NA,NA,13,0
"GQDR-58W",NA,"Sir John Cunningham","1609 - 1705",96,"Ireland",12,1
"GQW1-BVS",NA,"Catherine Garat","1620 - Unknown",NA,"France",2,6
"GQX7-RYL",NA,"John Ainsworth","1625 - 1680",55,"UK:Great Britain",1,0
"GS3J-VXN",NA,"Mougeotte LE BETZ","1627 - 1706",79,"France",7,0
"GW24-LZL",NA,"Maria Müller","1655 - Unknown",73,"Switzerland",5,9
"GW3V-BQ5",NA,"John Smith","1598 - 1670",72,"UK:Great Britain",2,0
"GWKC-QWJ",NA,"Elizabeth Pruet","1640 - 1730",90,"UK:Great Britain",6,0
"GWS8-995",NA,"Philip Mattheis","1610 - Unknown",NA,NA,1,0
"GWS8-HLT",NA,"Wilheminah Kitgiel","1611 - Unknown",NA,NA,1,0
"GXN6-B1C",NA,"Anna Catharina Menges","1658 - 1725",66,"Germany",5,3
"GXWW-BBM",NA,"William Clarke","1648 - 1711",63,"USA",9,8
"GZLG-8GW",NA,"Ann","1619 - 1687",67,"UK:Great Britain",7,0
"K2SV-SNK",NA,"Mary Pidge","1624 - 1663",38,"UK:Great Britain",10,8
"K6WV-NKD",NA,"John Joseph Moore Jr.","1609 - 1673",63,"UK:Great Britain",15,0
"K8CB-RH1",NA,"Hanss Peter Becker","1645 - Unknown",NA,"Germany",3,1
"K8JB-8HJ",NA,"Susannah","1632 - 1683",51,"USA",3,0
